,NumDots,UrlLength,AtSymbol,NumDash,NumPercent,NumQueryComponents,IpAddress,HttpsInHostname,PathLevel,PathLength,NumNumericChars,Phising
0,3,72,0,0,0,0,0,0,5,44,0,1
1,3,144,0,0,0,2,0,0,3,16,41,1
2,3,58,0,0,0,0,0,0,2,24,0,1
3,3,79,0,1,0,0,0,0,6,50,0,1
4,3,46,0,0,0,0,0,0,4,29,2,1
5,3,42,0,1,0,0,0,0,1,12,0,1
6,2,60,0,0,0,0,0,0,5,36,1,1
7,1,30,0,0,0,0,0,0,3,11,3,1
8,8,76,0,1,0,0,0,0,2,4,2,1
9,2,46,0,0,0,0,0,0,2,25,0,1
10,5,64,0,1,0,0,0,0,2,4,3,1
11,2,47,0,0,0,0,0,0,2,18,1,1
12,2,61,0,1,0,0,0,0,2,10,0,1
13,2,35,0,0,0,0,0,0,3,12,0,1
14,2,60,0,1,0,0,0,0,2,10,0,1
15,3,73,0,0,0,0,0,0,4,33,0,1
16,3,50,0,0,0,0,1,0,5,30,10,1
17,3,59,0,1,0,0,0,0,2,16,7,1
18,2,28,0,0,0,0,0,0,3,12,1,1
19,1,59,0,0,0,0,0,0,4,40,22,1
20,1,32,0,0,0,0,0,0,4,14,4,1
21,5,52,0,0,0,0,0,0,2,20,1,1
22,2,62,0,1,0,0,0,0,6,37,0,1
23,1,105,0,2,0,0,0,0,10,87,24,1
24,4,55,0,0,0,0,0,0,2,17,0,1
25,5,134,0,3,0,0,0,0,3,56,1,1
26,2,43,0,0,0,0,0,0,3,22,0,1
27,6,210,0,2,0,5,0,0,3,54,24,1
28,2,135,0,2,0,2,0,0,7,51,1,1
29,5,85,0,0,0,0,0,0,6,69,0,1
30,2,80,0,0,0,0,0,0,3,41,17,1
31,2,44,0,0,0,0,0,0,2,18,4,1
32,3,95,0,0,4,0,0,0,9,78,16,1
33,2,60,0,1,0,0,0,0,6,38,0,1
34,2,60,0,0,0,0,0,0,5,41,0,1
35,6,100,0,1,0,1,0,0,2,18,8,1
36,6,111,0,1,0,1,0,0,2,18,18,1
37,2,29,0,0,0,0,0,0,2,6,0,1
38,2,37,0,2,0,0,0,0,2,6,0,1
39,3,49,0,2,0,0,0,0,2,18,0,1
40,1,34,0,0,0,0,0,0,3,13,0,1
41,3,53,0,1,0,0,0,0,3,24,0,1
42,2,45,0,0,0,0,0,0,3,24,0,1
43,3,65,0,0,0,0,0,0,5,42,0,1
44,5,182,0,0,0,1,0,0,2,37,75,1
45,3,47,0,0,0,0,0,0,2,21,0,1
46,4,55,0,0,0,0,0,0,3,32,0,1
47,2,62,0,0,0,0,0,0,4,42,0,1
48,2,59,0,1,0,0,0,0,5,34,0,1
49,3,39,0,0,0,0,0,0,2,14,0,1
50,2,41,0,0,0,0,0,0,5,23,1,1
51,2,142,0,0,0,0,0,0,3,121,5,1
52,2,29,0,0,0,0,0,0,2,5,0,1
53,4,51,0,1,0,0,0,0,3,28,0,1
54,3,39,0,0,0,0,0,0,2,17,0,1
55,3,48,0,0,0,0,0,0,2,17,0,1
56,2,59,0,1,0,0,0,0,5,25,0,1
57,2,129,0,2,0,2,0,0,7,51,1,1
58,3,34,0,1,0,0,0,0,2,5,0,1
59,8,184,0,2,0,2,0,0,2,34,26,1
60,8,184,0,2,0,2,0,0,2,34,33,1
61,2,135,0,2,0,1,0,0,7,51,1,1
62,2,133,0,2,0,2,0,0,7,51,1,1
63,4,52,0,0,0,0,0,0,3,28,0,1
64,4,58,0,0,0,1,0,0,1,15,4,1
65,5,120,0,1,0,0,0,0,5,90,22,1
66,3,48,0,1,0,0,0,0,3,25,0,1
67,4,58,0,1,0,0,0,0,3,35,0,1
68,1,32,0,0,0,0,0,0,3,17,0,1
69,2,37,0,0,0,0,0,0,3,8,0,1
70,2,63,0,0,0,1,0,0,2,5,4,1
71,5,120,0,1,0,0,0,0,5,90,20,1
72,2,52,0,0,0,0,0,0,2,20,1,1
73,5,58,0,0,0,0,1,0,4,36,12,1
74,2,51,0,0,0,0,0,0,3,26,0,1
75,1,73,0,0,0,0,0,0,6,52,3,1
76,3,57,0,0,0,0,0,0,4,35,0,1
77,2,32,0,0,0,0,0,0,3,8,0,1
78,2,52,0,0,0,0,0,0,4,24,0,1
79,1,47,0,1,0,1,0,0,2,9,0,1
80,1,59,0,1,0,0,0,0,3,38,18,1
81,5,135,0,1,0,1,0,0,7,77,0,1
82,2,34,0,1,0,0,0,0,2,9,0,1
83,1,153,0,0,0,0,0,0,10,131,47,1
84,2,51,0,1,0,0,0,0,2,27,0,1
85,5,120,0,1,0,0,0,0,5,90,17,1
86,3,67,0,1,0,0,0,0,5,44,0,1
87,2,41,0,0,0,0,0,0,2,16,0,1
88,2,40,0,0,0,0,0,0,2,15,0,1
89,1,39,0,1,0,0,0,0,2,9,0,1
90,3,58,0,1,0,0,0,0,2,23,0,1
91,2,46,0,1,0,0,0,0,4,25,0,1
92,4,48,0,0,0,0,0,0,2,16,0,1
93,2,139,0,0,0,2,0,0,5,60,43,1
94,1,79,0,1,0,0,0,0,4,59,32,1
95,1,79,0,1,0,0,0,0,4,59,30,1
96,3,53,0,0,0,0,0,0,3,17,0,1
97,2,53,0,0,0,0,0,0,5,36,0,1
98,3,70,0,0,0,0,0,0,5,37,0,1
99,3,49,0,0,0,0,0,0,2,14,0,1
100,12,149,0,2,0,0,0,0,6,58,18,1
101,4,152,0,2,0,2,0,0,5,39,4,1
102,3,82,0,0,0,1,0,0,4,36,4,1
103,2,39,0,0,0,0,0,0,2,22,0,1
104,1,39,0,0,0,0,0,0,3,9,2,1
105,1,50,0,1,0,0,0,0,4,20,0,1
106,5,79,0,0,0,0,0,0,5,42,0,1
107,1,25,0,0,0,0,0,0,2,5,0,1
108,3,212,0,0,0,10,0,0,3,33,48,1
109,3,57,0,0,0,0,0,0,3,33,0,1
110,3,47,0,0,0,0,0,0,3,22,0,1
111,1,52,0,0,0,0,0,0,2,36,23,1
112,2,40,0,0,0,0,0,0,3,17,0,1
113,1,37,0,0,0,0,0,0,3,14,0,1
114,2,37,0,0,0,0,0,0,2,15,0,1
115,3,64,0,2,0,0,0,0,2,20,0,1
116,2,42,0,0,0,0,0,0,3,22,0,1
117,2,43,0,0,0,0,0,0,3,23,0,1
118,2,42,0,0,0,0,0,0,3,22,0,1
119,2,49,0,0,1,0,0,0,3,29,2,1
120,3,64,0,0,0,0,0,0,5,36,1,1
121,2,68,0,0,0,0,0,0,4,38,0,1
122,2,48,0,2,0,0,0,0,4,24,0,1
123,2,49,0,2,0,0,0,0,4,25,0,1
124,1,38,0,2,0,0,0,0,4,14,0,1
125,4,89,0,2,0,0,1,0,4,34,21,1
126,2,79,0,0,0,0,0,0,5,53,20,1
127,4,90,0,2,0,0,1,0,4,34,22,1
128,4,89,0,2,0,0,1,0,4,34,21,1
129,2,50,0,1,0,0,0,0,8,31,2,1
130,3,54,0,1,0,0,0,0,3,25,0,1
131,6,149,0,3,0,0,0,0,3,56,1,1
132,2,50,0,1,0,0,0,0,8,31,2,1
133,2,50,0,1,0,0,0,0,8,31,2,1
134,2,37,0,0,0,0,0,0,3,15,1,1
135,4,62,0,1,0,0,0,0,5,39,0,1
136,1,29,0,0,0,0,0,0,2,5,0,1
137,2,172,0,1,0,2,0,0,3,52,25,1
138,2,164,0,1,0,2,0,0,3,52,25,1
139,2,44,0,0,0,0,0,0,3,18,0,1
140,6,142,0,3,0,0,0,0,8,120,24,1
141,4,191,0,2,0,3,0,0,5,69,22,1
142,4,191,0,2,0,3,0,0,5,69,26,1
143,4,191,0,2,0,3,0,0,5,69,21,1
144,1,59,0,0,0,0,0,0,4,40,22,1
145,3,56,0,0,0,0,0,0,3,28,0,1
146,2,58,0,0,0,0,0,0,5,31,0,1
147,4,53,0,0,0,0,0,0,2,24,0,1
148,2,33,0,0,0,0,0,0,2,14,0,1
149,2,33,0,0,0,0,0,0,2,17,0,1
150,2,55,0,1,0,0,0,0,2,11,0,1
151,3,51,0,1,0,0,0,0,1,21,0,1
152,1,41,0,0,0,0,0,0,5,19,0,1
153,1,35,0,0,0,0,0,0,3,11,0,1
154,2,36,0,0,0,0,0,0,2,19,0,1
155,3,65,0,0,0,0,0,0,3,38,0,1
156,3,187,0,2,0,3,0,0,5,69,23,1
157,3,69,0,0,0,0,0,0,4,36,0,1
158,5,83,0,0,0,2,0,0,4,27,12,1
159,3,49,0,0,0,0,0,0,2,33,0,1
160,2,48,0,0,0,0,0,0,3,26,0,1
161,2,56,0,1,0,0,0,0,2,11,0,1
162,2,42,0,0,0,0,0,0,3,22,0,1
163,5,74,0,1,0,0,0,0,2,4,7,1
164,5,86,0,1,0,1,0,0,2,4,4,1
165,8,111,0,2,0,1,0,0,2,4,10,1
166,8,123,0,1,0,1,0,0,2,4,13,1
167,5,95,0,1,0,1,0,0,2,4,8,1
168,4,55,0,0,0,0,0,0,3,17,0,1
169,2,52,0,0,0,0,0,0,3,12,1,1
170,2,37,0,0,0,0,0,0,2,16,0,1
171,3,84,0,1,0,0,0,0,5,52,1,1
